frame_idx,t_us,pred_x,pred_y,kf_x,kf_y,det_x,det_y,score,accepted,sigma_obs,dt_ms
0,1473347517027522,176.77,109.08,176.77,109.08,176.77,109.08,6.706,1,0.5,2.0
1,1473347517029522,176.77,109.08,176.88475942814878,109.04008367716564,177.0,109.0,6.439,1,0.5,2.0
2,1473347517031522,176.88485162064313,109.04005161021108,175.94920898782698,107.20534394463316,174.08,103.54,7.277,1,0.5,2.0
3,1473347517033522,175.94705716273933,107.20091156914735,175.47751994875614,106.28024654982131,174.08,103.54,5.958,1,0.5,2.0
4,1473347517035522,175.47313381203128,106.27143315296938,175.11931058760638,105.63378158552969,173.73,103.13,7.04,1,0.5,2.0
5,1473347517037522,175.11215484609994,105.61997687463094,175.852522639385,105.79144780241415,179.43,106.62,7.619,1,0.5,2.0
6,1473347517039522,175.8538902603798,105.77961712238111,175.31400135870723,105.51301756906986,172.25,104.0,3.616,1,0.5,2.0
7,1473347517041522,175.30690337714054,105.49700653664503,176.0412242652662,105.6264470836621,180.77,106.46,5.728,1,0.5,2.0
8,1473347517043522,176.0489342889179,105.61304629469717,175.77292738871054,105.62253284093715,173.81,105.69,5.928,1,0.5,2.0
9,1473347517045522,175.7737975656078,105.60936714219083,177.29694177617995,106.00789747835002,189.0,109.07,3.919,1,0.5,2.0
10,1473347517047522,177.34249743428683,106.00642372559562,177.1378985740363,106.08548545264351,175.47,106.73,5.872,1,0.5,2.0
11,1473347517049522,177.17656752068947,106.0866728843187,177.0130809654795,106.16999616812971,175.62,106.88,4.807,1,0.5,2.0
12,1473347517051522,177.04560217010484,106.17431688531039,176.90012024572783,106.2463314625033,175.62,106.88,3.936,1,0.5,2.0
13,1473347517053522,176.92666667555932,106.25360973528717,179.70642084597372,104.83903460363842,204.72,92.11,6.124,1,0.5,2.0
14,1473347517061522,180.30180180909042,104.6192035853442,180.6456441686818,104.83721732428211,183.0,106.33,5.02,1,0.5,8.0
15,1473347517063522,180.8112223598963,104.79286912081855,179.74936061695973,105.30366439319646,172.19,108.94,7.228,1,0.5,2.0
16,1473347517065522,179.86327668807616,105.28416760460179,180.661282768629,105.59561829669737,186.54,107.89,13.754,1,0.5,2.0
17,1473347517067522,180.81390517836073,105.59122805458648,180.86697138012352,105.91337205561321,181.27,108.36,25.528,1,0.5,2.0
18,1473347517069522,181.0221533231002,105.92451973129019,180.9696774703757,106.1987888547695,180.56,108.34,23.655,1,0.5,2.0
19,1473347517071522,181.12234819362675,106.22306161555248,181.02215966618473,106.44256285352282,180.22,108.2,26.796,1,0.5,2.0
20,1473347517073522,181.1700829405646,106.47723671442205,180.45347867950412,106.05453939506677,174.58,102.59,36.444,1,0.5,2.0
21,1473347517075522,180.5678369265623,106.06941453602543,180.49556261952227,105.84982962899728,179.89,104.01,40.666,1,0.5,2.0
22,1473347517077522,180.60657960375497,105.854553294045,180.82774737501614,105.91895930457085,182.72,106.47,34.653,1,0.5,2.0
23,1473347517079522,180.94884336453174,105.92661806507411,181.20489490588736,105.92079862256118,183.44,105.87,28.58,1,0.5,2.0
24,1473347517081522,181.33748113300032,105.92819623729355,181.66096145529977,105.99403369211979,184.54,106.58,24.885,1,0.5,2.0
25,1473347517083522,181.80782902388174,106.00433796642,182.07815219484766,106.06150365795342,184.53,106.58,23.738,1,0.5,2.0
26,1473347517085522,182.23675267244502,106.0742891100793,182.36305131489758,105.91468429854781,183.53,104.44,16.524,1,0.5,2.0
27,1473347517087522,182.5270377611887,105.92066345013404,182.78862201934194,105.96286878219419,185.25,106.36,13.488,1,0.5,2.0
28,1473347517089522,182.96356347843496,105.97061547115554,183.10688960344856,105.99040546745958,184.48,106.18,17.413,1,0.5,2.0
29,1473347517091522,183.28772358657284,105.99896577660907,183.49346946069664,106.1143842973506,185.5,107.24,17.497,1,0.5,2.0
30,1473347517093522,183.6826049992427,106.12760158079286,183.3675288407124,106.17266716410093,180.24,106.62,29.821,1,0.5,2.0
31,1473347517095522,183.54419032958495,106.18766862038372,183.27268884970758,106.39865278740433,180.53,108.53,33.16,1,0.5,2.0
32,1473347517097522,183.43880482154103,106.42184917923333,183.62420051699715,106.84723104577671,185.53,111.22,17.173,1,0.5,2.0
33,1473347517099522,183.79738070511272,106.88663595582597,183.65536892232475,106.97419353608413,182.17,107.89,31.821,1,0.5,2.0
34,1473347517101522,183.8232409572978,107.01687119601144,183.69153651281337,107.11506524919456,182.29,108.16,33.758,1,0.5,2.0
35,1473347517103522,183.85457931342236,107.16134341097154,183.49058077125554,106.75872054491235,179.55,102.4,38.574,1,0.5,2.0
36,1473347517105522,183.6405300756212,106.79051584378324,183.22924216137645,106.45082216218547,178.7,102.71,47.291,1,0.5,2.0
