frame_idx,t_us,pred_x,pred_y,kf_x,kf_y,det_x,det_y,score,accepted,sigma_obs,dt_ms
0,1468940293846967,180.0,2.07,180.0,2.07,180.0,2.07,6.248,1,0.5,2.0
1,1468940293848967,180.0,2.07,179.9051987332684,2.129874484251536,179.81,2.19,5.947,1,0.5,2.0
2,1468940293850967,179.90512257425132,2.1299225846833747,179.78999655773043,2.1432916121596715,179.56,2.17,5.729,1,0.5,2.0
3,1468940293852967,179.7896442838847,2.143371776471093,182.89054605909973,3.689157705827278,192.12,8.29,8.685,1,0.5,2.0
4,1468940293854967,182.90494955053924,3.6965935543906427,184.7287450042823,4.614759585548489,191.89,8.22,7.11,1,0.5,2.0
5,1468940293856967,184.7574245303646,4.629382517532711,185.9238414836358,5.186756023651687,191.56,7.88,5.362,1,0.5,2.0
6,1468940293858967,185.9659491931298,5.207795626491036,188.11778819304232,6.524931615530351,200.33,14.0,4.854,1,0.5,2.0
7,1468940293860967,188.1936373143215,6.566624263409371,188.6420937447286,6.7498821024805356,191.53,7.93,3.355,1,0.5,2.0
8,1468940293862967,188.72698624917868,6.795270250625387,191.19164534099787,7.984234113762765,208.72,16.44,5.762,1,0.5,2.0
9,1468940293872967,191.92149679514318,8.358496001428001,191.92149679514318,8.358496001428001,nan,nan,nan,0,nan,10.0
10,1468940293880967,192.50537795845943,8.657905511560191,195.25166161482693,9.37853995857769,206.69,12.38,6.845,1,0.5,8.0
11,1468940293882967,195.5111566665829,9.483181630863188,197.45358092234068,9.986529794614228,206.69,12.38,5.604,1,0.5,2.0
12,1468940293884967,197.7933153280904,10.111964211519542,201.91129290496212,12.380481245935547,223.73,24.4,6.802,1,0.5,2.0
13,1468940293886967,202.42119888497055,12.599660008887671,205.53795526289153,14.375140789831404,223.61,24.67,7.359,1,0.5,2.0
14,1468940293888967,206.17674063484833,14.667736546516196,208.48349717570153,16.122923363860103,222.92,25.23,6.042,1,0.5,2.0
15,1468940293890967,209.21769972791955,16.475711785182526,212.58307646416213,16.76916842289324,235.07,18.73,7.394,1,0.5,2.0
16,1468940293892967,213.45643225884547,17.134090832728944,212.55006026845675,16.604609238680258,206.14,12.86,6.815,1,0.5,2.0
17,1468940293894967,213.3859898962639,16.947668145774415,215.37512578746967,17.413981351680352,230.16,20.88,16.633,1,0.5,2.0
18,1468940293896967,216.29298619254178,17.776247294139807,216.59263919615168,16.69875148254772,218.92,8.33,5.668,1,0.5,2.0
19,1468940293898967,217.5227961915312,17.01680120026226,218.396085223155,17.747538027061484,225.45,23.65,8.289,1,0.5,2.0
20,1468940293900967,219.36190114674892,18.095425852329036,220.5914984361891,18.29661072608719,230.88,19.98,15.948,1,0.5,2.0
21,1468940293902967,221.60721289047828,18.65266287449115,222.1946741695634,19.062162237946367,227.27,22.6,5.609,1,0.5,2.0
22,1468940293904967,223.2340538929145,19.434710643996343,223.91472694771502,19.292763444603814,229.97,18.03,26.947,1,0.5,2.0
23,1468940293906967,224.98129619532352,19.65964176162362,225.72184609573463,19.245449862564328,232.49,15.46,13.932,1,0.5,2.0
24,1468940293908967,226.8177180344275,19.59593909187913,227.4726175130014,19.511482637120366,233.61,18.72,7.375,1,0.5,2.0
25,1468940293910967,228.59413520976602,19.85866456527338,229.0930761159808,19.766286911955426,233.88,18.88,5.805,1,0.5,2.0
26,1468940293912967,230.2339141350733,20.109891731044492,230.41950836369298,19.318893405226014,232.24,11.56,6.19,1,0.5,2.0
27,1468940293914967,231.56744754208043,19.63223324702858,231.66207595139562,18.875949021501008,232.61,11.3,5.522,1,0.5,2.0
28,1468940293916967,232.81359031194148,19.160715479376215,230.97287372044735,17.621491932781424,212.16,1.89,4.399,1,0.5,2.0
29,1468940293918967,232.05575667151112,17.848868197077127,230.20487172918027,16.38039720130076,210.92,1.08,3.676,1,0.5,2.0
30,1468940293920967,231.21968476742288,16.553767573400368,229.5778452111849,16.499202189433074,212.15,15.92,4.926,1,0.5,2.0
31,1468940293922967,230.53312533324385,16.67059402689578,228.88395893151784,16.623117680991175,211.06,16.11,6.429,1,0.5,2.0
32,1468940293924967,229.78030308256456,16.792812864591014,228.2851570677845,16.70007096875837,211.84,15.68,6.819,1,0.5,2.0
33,1468940293926967,229.1288566657114,16.866500681552463,227.63578972896153,16.801154332901596,210.93,16.07,4.891,1,0.5,2.0
34,1468940293928967,228.42770594063677,16.965317666922548,228.66056264808546,15.74659489596649,231.31,1.88,8.008,1,0.5,2.0
35,1468940293930967,229.46043220012731,15.86913212818363,229.6227325299888,14.745590267057322,231.5,1.75,7.296,1,0.5,2.0
36,1468940293932967,230.42806037598635,14.830341859807447,228.76065858439145,15.871458227886114,209.16,28.11,11.118,1,0.5,2.0
37,1468940293934967,229.5107789006551,15.990681093929126,228.3843283203832,16.740782853945348,214.93,25.7,11.088,1,0.5,2.0
38,1468940293936967,229.0977331295974,16.884454521329495,228.12099495510057,15.818117608502217,216.27,2.88,13.793,1,0.5,2.0
39,1468940293938967,228.80306207212848,15.927576895523229,227.95618258254174,14.976779054741911,217.52,3.26,15.396,1,0.5,2.0
40,1468940293940967,228.61150449825135,15.05621130724692,227.83958697141875,14.180347335670271,218.18,3.22,16.164,1,0.5,2.0
41,1468940293942967,228.4709136539773,14.23255315597751,226.48694568175407,14.18202144902545,201.28,13.54,32.94,1,0.5,2.0
42,1468940293944967,227.05756768259693,14.232681119782885,225.0624759500332,14.14182696727371,199.33,12.97,35.253,1,0.5,2.0
43,1468940293946967,225.57300886113555,14.189750250909533,223.6489470605212,14.095385155717173,198.46,12.86,29.097,1,0.5,2.0
44,1468940293948967,224.10243519225207,14.140510693441769,224.56074446170516,13.717693642473607,230.65,8.1,17.524,1,0.5,2.0
45,1468940293950967,225.027609164733,13.75047851243338,225.43102436212766,13.361005295619815,230.87,8.11,19.633,1,0.5,2.0
46,1468940293952967,225.90948106320812,13.382598785582008,226.24263359486628,13.018649614940822,230.8,8.04,19.203,1,0.5,2.0
47,1468940293954967,226.73051579538668,13.029946311758527,226.9852207123506,12.691865457348351,230.52,8.0,19.86,1,0.5,2.0
48,1468940293956967,227.48019857985264,12.693743768434233,227.68976791284368,12.341980509889238,230.64,7.39,22.017,1,0.5,2.0
49,1468940293958967,228.19049516325924,12.334208450668406,228.29649420432995,12.005366408441477,229.81,7.31,18.38,1,0.5,2.0
50,1468940293960967,228.80008549448522,11.988709205850416,228.88663988841867,11.672267518993925,230.14,7.09,14.276,1,0.5,2.0
51,1468940293962967,229.39253473256457,11.647188554347393,229.51925446155454,11.354711850498965,231.38,7.06,11.318,1,0.5,2.0
52,1468940293964967,230.02847158725945,11.321964861564688,230.18906136346035,11.149389270687191,232.58,8.58,8.561,1,0.5,2.0
53,1468940293966967,230.70242655454538,11.112184620431577,230.8296507810851,10.965412297345651,232.75,8.75,6.432,1,0.5,2.0
54,1468940293990967,237.02888999206198,10.474129182125786,236.18684140582533,11.48705261237996,228.42,20.83,4.569,1,0.5,24.0
55,1468940293992967,236.6857699643891,11.467373746930054,236.09671332511292,12.295805179864372,230.32,20.42,8.497,1,0.5,2.0
56,1468940293994967,236.58347436857653,12.293238339468715,236.280689836884,12.361538954036064,233.14,13.07,6.692,1,0.5,2.0
57,1468940293996967,236.761293245119,12.36036112208164,236.5842121463799,12.858538142752126,234.65,18.3,9.742,1,0.5,2.0
58,1468940293998967,237.06126840059608,12.86733941434708,235.2687288136045,13.931135626303934,214.73,26.12,11.167,1,0.5,2.0
59,1468940294000967,235.71040294870247,13.960934684816454,234.79350929249392,14.648894863867037,223.81,22.89,26.813,1,0.5,2.0
60,1468940294002967,235.2173428231674,14.692080017191259,234.9669288237577,14.235190923433132,231.84,8.53,16.547,1,0.5,2.0
61,1468940294004967,235.38595747504644,14.26960940639196,235.08372873923213,13.896317445539701,231.16,9.05,22.228,1,0.5,2.0
62,1468940294006967,235.4970367973004,13.923670248741924,235.11152516755558,13.243228376437955,229.92,4.08,12.152,1,0.5,2.0
63,1468940294008967,235.51763271186775,13.257872014251296,234.61749407142588,12.666964388860084,222.07,4.43,31.269,1,0.5,2.0
