frame_idx,t_us,pred_x,pred_y,kf_x,kf_y,det_x,det_y,score,accepted,sigma_obs,dt_ms
0,1468939802878392,105.76,133.24,105.76,133.24,105.76,133.24,9.142,1,0.5,2.0
1,1468939802880392,105.76,133.24,105.69513597539417,133.14519873326842,105.63,133.05,9.212,1,0.5,2.0
2,1468939802882392,105.69508386659301,133.14512257425133,105.6733731850565,133.1133915781595,105.63,133.05,7.542,1,0.5,2.0
3,1468939802884392,105.6732690059997,133.1132393164611,105.47125875227894,132.8760286034689,104.87,132.17,9.359,1,0.5,2.0
4,1468939802886392,105.47019329933951,132.8747475650927,105.70764195412707,133.17622574305966,106.64,134.36,4.509,1,0.5,2.0
5,1468939802890392,105.70922837873576,133.17838339834063,105.70922837873576,133.17838339834063,nan,nan,nan,0,nan,4.0
6,1468939802892392,105.7100215910401,133.1794622259811,104.27644236895699,131.67574575664295,97.75,124.83,5.584,1,0.5,2.0
7,1468939802894392,104.25132695629534,131.6496483909771,102.93493899532547,130.2056950425354,95.91,122.5,9.804,1,0.5,2.0
8,1468939802896392,102.88147397231005,130.14850083003483,102.14191122662005,129.34691939547554,97.67,124.5,5.796,1,0.5,2.0
9,1468939802898392,102.06981755720122,129.26953436455562,102.06981755720122,129.26953436455562,nan,nan,nan,0,nan,2.0
10,1468939802920392,101.27678719359409,128.41829902443652,101.27678719359409,128.41829902443652,nan,nan,nan,0,nan,22.0
11,1468939802922392,101.20469352417525,128.3409139935166,102.34623144895635,131.68398248381024,105.5,140.92,5.42,1,0.5,2.0
12,1468939802924392,102.3162487604399,131.7299222152955,100.22883225245836,134.25185255975373,92.93,143.07,8.543,1,0.5,2.0
13,1468939802926392,100.12275747529988,134.38972360757467,99.31552928303317,135.97422058341053,95.94,142.6,21.777,1,0.5,2.0
14,1468939802928392,99.18027799360472,136.1693618008069,98.73015198365759,137.2620278081191,96.56,142.53,23.239,1,0.5,2.0
15,1468939802930392,98.57872892092068,137.4964254705589,98.27978245340674,138.28846890689334,96.66,142.58,21.655,1,0.5,2.0
16,1468939802932392,98.1176651500357,138.5512004150925,98.69428884919604,138.99112961905888,102.14,141.62,11.206,1,0.5,2.0
17,1468939802934392,98.552733141518,139.26954838818514,98.42029698378224,139.67115948369926,97.56,142.28,22.296,1,0.5,2.0
18,1468939802936392,98.27403110999548,139.9638617763233,98.26976745488884,140.24151504874578,98.24,142.18,19.904,1,0.5,2.0
19,1468939802938392,98.12335030709036,140.54406844877346,98.5924038909267,140.65265045880622,102.08,141.46,19.683,1,0.5,2.0
20,1468939802940392,98.46258698065533,140.95904667598705,97.62590858851821,141.27406899488312,91.05,143.75,12.56,1,0.5,2.0
21,1468939802942392,97.46656463350108,141.59158259981217,96.79605849050085,141.82367992733842,91.26,143.74,11.738,1,0.5,2.0
22,1468939802944392,96.61313017152258,142.14935731704995,96.71562258274344,142.17538807834097,97.6,142.4,23.493,1,0.5,2.0
23,1468939802946392,96.53628526893326,142.50197750238962,96.5867661935465,142.4997749766883,97.04,142.48,22.849,1,0.5,2.0
24,1468939802948392,96.40918950796136,142.82628758302914,97.1058474811065,142.71119796966633,103.59,141.64,10.954,1,0.5,2.0
25,1468939802950392,96.95244060222511,143.033717664398,97.58790355696716,142.90340368511878,103.7,141.65,11.521,1,0.5,2.0
26,1468939802952392,97.45641205249326,143.2214292081208,97.81137305630146,143.12141474800006,101.33,142.13,8.096,1,0.5,2.0
27,1468939802954392,97.69204170558127,143.43601400389215,96.76534114657368,143.36221294708162,87.32,142.61,13.391,1,0.5,2.0
28,1468939802956392,96.61449597752005,143.67430248926465,95.85139661962243,143.58317012885675,87.87,142.63,12.59,1,0.5,2.0
29,1468939802958392,95.67480826574005,143.89218531751874,95.05294452968637,143.8868769013643,88.39,143.83,8.312,1,0.5,2.0
30,1468939802960392,94.8555578538156,144.19571454928538,94.8555578538156,144.19571454928538,nan,nan,nan,0,nan,2.0
31,1468939802962392,94.65817117794482,144.50455219720646,94.65817117794482,144.50455219720646,nan,nan,nan,0,nan,2.0
32,1468939802964392,94.46078450207405,144.81338984512755,94.46078450207405,144.81338984512755,nan,nan,nan,0,nan,2.0
33,1468939803010392,89.92089095704608,151.91665574731263,89.92089095704608,151.91665574731263,nan,nan,nan,0,nan,46.0
34,1468939803012392,89.72350428117531,152.2254933952337,89.72350428117531,152.2254933952337,nan,nan,nan,0,nan,2.0
35,1468939803018392,89.13134425356297,153.15200633899698,89.13134425356297,153.15200633899698,nan,nan,nan,0,nan,6.0
36,1468939803020392,88.9339575776922,153.46084398691806,88.9339575776922,153.46084398691806,nan,nan,nan,0,nan,2.0
37,1468939803026392,88.34179755007986,154.38735693068134,88.34179755007986,154.38735693068134,nan,nan,nan,0,nan,6.0
38,1468939803030392,87.9470241983383,155.00503222652353,87.9470241983383,155.00503222652353,nan,nan,nan,0,nan,4.0
39,1468939803036392,87.35486417072596,155.9315451702868,87.35486417072596,155.9315451702868,nan,nan,nan,0,nan,6.0
40,1468939803038392,87.15747749485519,156.24038281820788,87.15747749485519,156.24038281820788,nan,nan,nan,0,nan,2.0
41,1468939803040392,86.96009081898441,156.54922046612896,86.96009081898441,156.54922046612896,nan,nan,nan,0,nan,2.0
42,1468939803042392,86.76270414311364,156.85805811405004,86.76270414311364,156.85805811405004,nan,nan,nan,0,nan,2.0
43,1468939803044392,86.56531746724286,157.16689576197112,86.56531746724286,157.16689576197112,nan,nan,nan,0,nan,2.0
44,1468939803046392,86.36793079137209,157.4757334098922,86.36793079137209,157.4757334098922,nan,nan,nan,0,nan,2.0
45,1468939803048392,86.17054411550131,157.78457105781328,86.17054411550131,157.78457105781328,nan,nan,nan,0,nan,2.0
46,1468939803050392,85.97315743963054,158.09340870573436,85.97315743963054,158.09340870573436,nan,nan,nan,0,nan,2.0
47,1468939803052392,85.77577076375977,158.40224635365544,85.77577076375977,158.40224635365544,nan,nan,nan,0,nan,2.0
48,1468939803054392,85.57838408788899,158.71108400157652,85.57838408788899,158.71108400157652,nan,nan,nan,0,nan,2.0
49,1468939803060392,84.98622406027665,159.6375969453398,84.98622406027665,159.6375969453398,nan,nan,nan,0,nan,6.0
50,1468939803088392,82.22281059808572,163.96132401623507,91.26845189270436,143.4131047611963,99.0,125.85,5.805,1,0.5,28.0
51,1468939803090392,91.17804066522741,143.47893531908275,93.96006639301686,137.20887566878542,99.0,125.85,4.753,1,0.5,2.0
52,1468939803092392,93.90219886768368,137.20136004886885,95.262729215835,134.1718440990654,99.0,125.85,5.076,1,0.5,2.0
53,1468939803094392,95.2206128541009,134.1292550966137,95.2206128541009,134.1292550966137,nan,nan,nan,0,nan,2.0
54,1468939803096392,95.17849649236682,134.08666609416198,95.17849649236682,134.08666609416198,nan,nan,nan,0,nan,2.0
55,1468939803098392,95.13638013063273,134.04407709171028,96.59305551314328,132.785120693781,101.69,128.38,8.593,1,0.5,2.0
56,1468939803100392,96.5673151934355,132.7283784193448,98.79581536510364,133.3843005537107,108.6,136.27,6.699,1,0.5,2.0
57,1468939803102392,98.79489718561749,133.33486426533662,100.2827300090033,133.70186468004724,108.14,135.64,5.865,1,0.5,2.0
58,1468939803104392,100.29823889012019,133.65648041819057,101.39584742853204,133.93411295488673,108.14,135.64,5.487,1,0.5,2.0
59,1468939803108392,101.45090055751521,133.8494240120144,101.45090055751521,133.8494240120144,nan,nan,nan,0,nan,4.0
60,1468939803110392,101.4784271220068,133.80707954057823,101.4784271220068,133.80707954057823,nan,nan,nan,0,nan,2.0
61,1468939803152392,102.05648497633022,132.9178456404188,102.05648497633022,132.9178456404188,nan,nan,nan,0,nan,42.0
62,1468939803154392,102.08401154082182,132.87550116898262,98.81837603160027,134.49569564641067,84.62,141.54,5.96,1,0.5,2.0
63,1468939803156392,98.81650524310274,134.46793621633307,96.62602214947347,135.34308378081266,85.12,139.94,8.08,1,0.5,2.0
64,1468939803158392,96.60457390234744,135.32314598847663,96.60457390234744,135.32314598847663,nan,nan,nan,0,nan,2.0
65,1468939803206392,96.08981597132285,134.84463897241207,96.08981597132285,134.84463897241207,nan,nan,nan,0,nan,48.0
66,1468939803208392,96.06836772419682,134.82470118007603,96.06836772419682,134.82470118007603,nan,nan,nan,0,nan,2.0
67,1468939803210392,96.04691947707079,134.80476338774,96.04691947707079,134.80476338774,nan,nan,nan,0,nan,2.0
68,1468939803214392,96.00402298281874,134.76488780306795,96.1051698977069,136.41984062196232,96.5,142.88,9.667,1,0.5,4.0
69,1468939803216392,96.08446873993762,136.41212660964243,97.33202234400974,137.2605508772306,103.36,141.36,7.617,1,0.5,2.0
70,1468939803218392,97.32048115691404,137.25906628975025,98.08815121034658,137.8757691728647,102.5,141.42,5.467,1,0.5,2.0
71,1468939803220392,98.08221472910087,137.87878709038793,98.48587210750846,138.35217794548586,101.17,141.5,5.546,1,0.5,2.0
72,1468939803222392,98.4828669120341,138.35863354048527,96.98478590439935,138.17025798934293,85.69,136.75,10.063,1,0.5,2.0
73,1468939803224392,96.97095723527657,138.17535259130966,95.77305868221536,138.02399772211535,85.69,136.75,8.754,1,0.5,2.0
74,1468939803226392,95.75061706071916,138.02800407476704,94.77420174323868,137.8823283543003,85.71,136.53,8.734,1,0.5,2.0
